"country","N","tea_rate","agency_mean","nes_inq","gdp_log","neci1","neci2","neci3","(Intercept)","agency_effect"
1,671,14.3070044709389,0.126828851177856,7.1944,1.72604790419162,5.3726,4.8614,5.31,0.248153791352825,-0.0696114292280218
7,551,12.5226860254083,-0.12327324200874,5.2,2.04066543438078,3.9676,3.8994,4.04,0.136895537922917,0.0102217661008859
20,1122,7.30837789661319,0.244376510455888,6.1207,3.11049723756906,4.3476,4.2909,4.33,-0.491487123799523,-0.0543299518301025
27,1175,10.1276595744681,0.146262712575259,4.1111,4.20316622691293,3.6526,3.4275,3.63,0.184507314814108,0.234626758566291
30,633,8.68878357030016,-0.150821575976617,4.5556,2.8512,4.0355,3.7726,4.1,0.11075648922605,-0.119707097957073
31,454,13.215859030837,0.00623050368793394,7.6579,1.86313465783664,6.0432,6.1679,6.04,0.282274529820083,0.0321129329203965
34,4635,5.5663430420712,-0.0328358963551158,6.1389,3.17675438596491,5.2429,5.6695,5.24,-0.349560098521727,-0.0681592203379625
39,334,2.69461077844311,-0.633338147463265,4.2778,3.75075075075075,4.2973,4.248,4.31,-0.281565332950684,-0.0188684134991474
41,351,10.5413105413105,-0.199128844447831,7.1667,2.03151862464183,6.0115,6.1045,6.05,0.00252542796502475,-0.0622255782933008
44,389,8.48329048843188,0.049605744890064,5.6944,1.62041884816754,4.8367,4.6811,4.83,-0.230197416577514,-0.0259548619235964
46,1048,7.5381679389313,0.0011565606158629,6.7778,2.38905472636816,4.92,4.8197,4.92,-0.118155467850344,0.0897819474618146
47,501,7.78443113772455,0.0411872220359747,6.8333,1.90120967741935,5.503,5.5015,5.52,-0.170018788327878,-0.113262466438397
48,2011,4.82347090999503,-0.0561462189883775,5.5,2.6241062308478,4.1333,4.4377,4.24,-1.00424543644993,-0.486752004043525
49,669,9.86547085201794,-0.0830497336380233,6.7576,2.67786259541985,5.0109,5.7413,5.04,0.204277321667191,-0.0323979051382954
52,2312,11.8512110726644,0.0811404348485632,6.5278,2.52231551038445,4.7071,4.5003,4.72,0.126888585872319,0.0519558153731573
55,649,20.6471494607088,0.139911762767851,5.8657,2.58705701078582,4.0126,4.0587,3.98,0.34069771170946,-0.0981476218905729
56,2261,31.844316674038,0.0951088078572634,6.7561,2.052,4.6808,5.0665,4.61,1.28076318934458,-0.130482210121728
57,693,24.0981240981241,0.00347703163501272,5.5556,2.27616279069767,4.3414,4.2921,4.24,0.566863222242482,0.202532568455634
61,418,9.09090909090909,0.0769077671784024,6.0317,2.19904076738609,4.5915,4.6956,4.65,-0.0677860600764273,0.0179509029594294
81,397,3.77833753148615,-0.445978515111195,5.7368,2.05426356589147,4.7067,4.6715,4.71,-0.391765814657392,0.0690548933952488
82,488,6.76229508196721,-0.146473042170568,5.5326,3.18012422360248,5.1093,5.3316,5.13,-0.407712295761519,0.00664211482852592
86,891,6.62177328843996,0.113763102960519,6.8333,1.75469483568075,5.8888,5.7172,5.89,-0.833621196356581,0.0324941061761502
91,1429,16.2351294611617,0.437177099801617,5.9718,2.63218390804598,5.8094,5.6586,5.8,-0.199226585734205,0.20965161396413
92,803,2.86425902864259,0.105767041607557,5.4722,3.09481668773704,3.9288,3.642,3.95,-1.23141895779998,-0.0231182859651151
98,1080,9.62962962962963,-0.0716163495734559,3.1667,3.10396975425331,3.1547,3.1529,3.15,0.141390514299736,0.0340689128773048
101,1816,13.931718061674,0.105043095499074,6.0909,1.89322033898305,5.1786,4.9577,5.16,0.247932943343344,0.295390653317124
212,1627,8.66625691456669,-0.0395975827373767,5.1429,3.59688473520249,3.9517,3.8726,3.95,0.0524044840043949,0.246179057772853
261,965,14.0932642487047,0.134567694427048,4.6154,2.24869927159209,3.6694,3.1825,3.69,-0.346694945712625,-0.12876703113053
351,437,13.2723112128146,0.0807377305813206,6.3659,2.28965517241379,4.1514,4.4811,4.21,0.317937082872947,-0.107486664219218
353,523,11.8546845124283,-0.587814111492075,6.4211,1.94061302681992,4.6943,5.0902,4.71,0.284136794267044,-0.075572573812911
357,532,12.0300751879699,-0.128814367460623,5.907,2.20380952380952,4.4375,4.1824,4.48,0.361473763745153,0.057586691924641
371,349,16.3323782234957,0.041108200168062,5.8056,1.81976744186047,4.8879,5.0709,4.91,0.389653079037925,-0.0680173106609702
374,570,19.4736842105263,0.16952891243784,6.15,2.46975088967972,4.627,4.1161,4.63,0.211637765968455,-0.0201776797557914
