country,n_obs,n_years,mean_tea,mean_agency,sd_agency,beta_agency,se_agency,p_value,n,effect_sig,effect_size,effect_category,group
353,537,3,0.14152700186219738,0.41247672253258844,0.23907629285264473,0.3566728291310378,0.0605825336493252,6.961403803253182e-9,537,Significant,Strong (>0.15),Strong positive,Top 10
91,1574,3,0.16772554002541296,0.5889453621346887,0.310519783765982,0.27302713375341864,0.029705781933232863,1.197846989465662e-19,1574,Significant,Strong (>0.15),Strong positive,Top 10
261,1005,3,0.2019900497512438,0.4211442786069652,0.2648727125699161,0.26286677453489743,0.04721896954364811,3.330114868417728e-8,1005,Significant,Strong (>0.15),Strong positive,Top 10
101,1871,3,0.22180652057723144,0.51309460181721,0.2679933176749704,0.24314356542331578,0.03554622150190659,1.0684135530837802e-11,1871,Significant,Strong (>0.15),Strong positive,Top 10
507,696,3,0.22413793103448276,0.5028735632183908,0.2705423619366277,0.22869380389674485,0.05789884520743516,8.622426528682694e-5,696,Significant,Strong (>0.15),Strong positive,Top 10
49,664,3,0.11746987951807229,0.4246987951807229,0.23538723193457678,0.2026926514290383,0.053108908602411256,1.480988345069093e-4,664,Significant,Strong (>0.15),Strong positive,Top 10
31,462,3,0.16233766233766234,0.4448051948051948,0.24630691956998096,0.19114227156413688,0.06917633332772034,0.005956826731474784,462,Significant,Strong (>0.15),Strong positive,Top 10
971,935,3,0.12620320855614972,0.4505347593582888,0.2913358669781732,0.18804798111314802,0.036815046708658324,3.952712387131036e-7,935,Significant,Strong (>0.15),Strong positive,Top 10
502,1432,3,0.2520949720670391,0.4558310055865922,0.22646959478224213,0.18526000979186724,0.050162634412741276,2.2982205634572783e-4,1432,Significant,Strong (>0.15),Strong positive,Top 10
46,1239,3,0.12187247780468119,0.43946731234866826,0.2669308122014851,0.18167880775923279,0.03444263403876983,1.5682375282575363e-7,1239,Significant,Strong (>0.15),Strong positive,Top 10
48,2398,3,0.0750625521267723,0.4680984153461218,0.25830755017469814,-0.07155066325726973,0.020648960956755832,5.393747134661896e-4,2398,Significant,Negative,Weak positive,Bottom 10
386,393,3,0.08651399491094147,0.4910941475826972,0.2427196539205989,-0.020883204669372567,0.05818830697950734,0.719873054629077,393,Not Significant,Negative,Not significant,Bottom 10
966,1623,3,0.08441158348736907,0.5097042513863216,0.2802694428003368,-0.003429007807706196,0.024982625788931154,0.8908457722916331,1623,Not Significant,Negative,Not significant,Bottom 10
34,4876,3,0.059680065627563575,0.47364643150123054,0.25680025818658964,0.017331346224913724,0.0131546107599568,0.18772932768787046,4876,Not Significant,Weak (0-0.05),Not significant,Bottom 10
86,912,3,0.11403508771929824,0.5202850877192983,0.27068585061376044,0.030294404487323293,0.039117462070153576,0.43886850091289,912,Not Significant,Weak (0-0.05),Not significant,Bottom 10
55,663,3,0.25339366515837103,0.4894419306184012,0.24053406563020002,0.0373925803380942,0.07034995416308586,0.5952364428325,663,Not Significant,Weak (0-0.05),Not significant,Bottom 10
98,1123,3,0.1219946571682992,0.43989314336598395,0.2584452126958872,0.039404299255895746,0.037704825321477016,0.2962152828503174,1123,Not Significant,Weak (0-0.05),Not significant,Bottom 10
30,630,3,0.10158730158730159,0.42142857142857143,0.22725889330844912,0.07150940973559916,0.05269414244775929,0.17525102046060073,630,Not Significant,Moderate (0.05-0.15),Not significant,Bottom 10
20,1177,3,0.07986406117247238,0.5435429056924383,0.27425831659306404,0.07599685265234803,0.028924394022880346,0.008715638853262528,1177,Significant,Moderate (0.05-0.15),Moderate positive,Bottom 10
421,387,3,0.18863049095607234,0.4502583979328165,0.26681762104870427,0.08653883253741214,0.07534201598966113,0.25143612623355527,387,Not Significant,Moderate (0.05-0.15),Not significant,Bottom 10
